Species,ID,Date,File.name,Call.#,Call.#.in.File,Call.Dur.s,Num.Pulses,Call.LF.kHz,Call.HF.kHz,Call.BW.kHz,Call.PF.kHz,used 10 sample pulses
Acanthodis curvidens,1,20110311,KatyCalls2011-03-11 01_17_28 176_f.WAV,1,1,0.0928,5,9.2,21.9,12.7,15.1,
Acanthodis curvidens,1,20110311,KatyCalls2011-03-11 01_23_03 178_f.WAV,2,2,0.0959,5,9.2,22.4,13.2,15.1,
Acanthodis curvidens,1,20110311,KatyCalls2011-03-11 01_23_37 179_f.WAV,3,1,0.0978,5,9.2,22.4,13.2,15.1,
Acanthodis curvidens,1,20110311,KatyCalls2011-03-11 01_24_20 180_f.WAV,4,2,0.0993,5,9.7,22.4,12.7,15.1,
Acanthodis curvidens,1,20110311,KatyCalls2011-03-11 01_24_56 181_f.WAV,5,3,0.0989,5,9.7,21.9,12.2,15.1,
Acanthodis curvidens,1,20110311,KatyCalls2011-03-11 01_26_03 183_f.WAV,6,1,0.1013,5,9.2,21.9,12.7,15.1,
Acanthodis curvidens,1,20110311,KatyCalls2011-03-11 01_26_43 184_f.WAV,7,2,0.1016,5,9.7,22.4,12.7,15.1,
Acanthodis curvidens,1,20110311,KatyCalls2011-03-11 01_30_33 188_f.WAV,8,1,0.1082,6,9.2,21.4,12.2,15.1,
Acanthodis curvidens,1,20110311,KatyCalls2011-03-11 01_33_01 189_f.WAV,9,2,0.095,5,9.7,21.9,12.2,15.1,
Acanthodis curvidens,1,20110311,KatyCalls2011-03-11 01_43_41 195_f.WAV,10,1,0.0949,5,9.2,22.4,13.2,14.6,
Acanthodis curvidens,1,20110311,KatyCalls2011-03-11 01_49_52 198_f.WAV,11,2,0.0987,5,8.7,22.4,13.7,15.1,
Acanthodis curvidens,1,20110311,KatyCalls2011-03-11 01_57_10 200_f.WAV,12,3,0.0966,5,9.7,19,9.3,15.1,
Acanthodis curvidens,1,20110311,KatyCalls2011-03-11 02_57_49 206_f.WAV,13,4,0.0991,5,9.2,20,10.8,15.1,
Acanthodis curvidens,1,20110311,KatyCalls2011-03-11 03_36_18 208_f.WAV,14,1,0.0958,5,9.2,21.9,12.7,14.6,
Acanthodis curvidens,1,20110311,KatyCalls2011-03-11 03_37_17 209_f.WAV,15,2,0.0994,6,9.7,22.4,12.7,14.6,
Acanthodis curvidens,1,20110311,KatyCalls2011-03-11 03_42_36 213_f.WAV,16,1,0.1061,5,9.2,21.9,12.7,15.1,
Acanthodis curvidens,1,20110311,KatyCalls2011-03-11 03_43_05 214_f.WAV,17,2,0.1066,5,8.7,21.9,13.2,15.1,
Acanthodis curvidens,1,20110311,KatyCalls2011-03-11 03_46_42 216_f.WAV,18,3,0.0994,5,9.2,20,10.8,15.1,
Acanthodis curvidens,1,20110311,KatyCalls2011-03-11 03_48_24 217_f.WAV,19,4,0.0938,5,9.2,22.9,13.7,15.1,
Acanthodis curvidens,1,20110311,KatyCalls2011-03-11 03_57_49 218_f.WAV,20,5,0.0992,5,9.2,22.9,13.7,14.6,
Acanthodis curvidens,2,20110412,KatyCalls_2011-04-12 23_44_09 0001799_f,1,6,0.1009,5,9.7,23.9,14.2,17,
Acanthodis curvidens,2,20110412,KatyCalls_2011-04-12 23_45_45 0001801_f,2,7,0.1013,6,10.2,22.9,12.7,16.6,
Acanthodis curvidens,2,20110412,KatyCalls_2011-04-12 23_47_21 0001802_f,3,1,0.1027,5,10.2,23.4,13.2,16.6,
Acanthodis curvidens,2,20110412,KatyCalls_2011-04-12 23_47_21 0001803_f,4,2,0.10041,6,9.7,23.4,13.7,17,
Acanthodis curvidens,2,20110412,KatyCalls_2011-04-12 23_47_21 0001804_f,5,3,0.10195,5,10.2,22.9,12.7,17,
Acanthodis curvidens,2,20110412,KatyCalls_2011-04-12 23_47_21 0001805_f,6,4,0.1029,5,10.2,23.4,13.2,17,
Acanthodis curvidens,2,20110412,KatyCalls_2011-04-12 23_54_29 0001806_f,7,5,0.1035,5,10.2,23.4,13.2,16.6,
Acanthodis curvidens,2,20110412,KatyCalls_2011-04-12 23_55_07 0001807_f,8,1,0.09766,6,10.2,23.9,13.7,16.1,
Acanthodis curvidens,2,20110412,KatyCalls_2011-04-12 23_55_45 0001808_f,9,2,0.0989,6,9.7,23.4,13.7,16.6,
Acanthodis curvidens,2,20110412,KatyCalls_2011-04-12 23_56_10 0001809_f,10,3,0.1011,6,9.7,22.9,13.2,16.6,
Acanthodis curvidens,2,20110412,KatyCalls_2011-04-12 23_56_55 0001810_f,11,4,0.1008,6,10.2,22.9,12.7,16.6,
Acanthodis curvidens,2,20110412,KatyCalls_2011-04-12 23_57_38 0001811_f,12,5,0.099,6,9.7,23.4,13.7,17,
Acanthodis curvidens,2,20110412,KatyCalls_2011-04-12 23_58_25 0001812_f,13,1,0.1004,6,9.7,23.4,13.7,17,
Acanthodis curvidens,2,20110413,KatyCalls_2011-04-13 00_00_45 0001813_f,14,2,0.0976,6,10.2,23.4,13.2,16.6,
Acanthodis curvidens,2,20110413,KatyCalls_2011-04-13 00_01_24 0001814_f,15,1,0.1001,6,10.2,23.4,13.2,16.6,
Acanthodis curvidens,2,20110413,KatyCalls_2011-04-13 00_02_20 0001815_f,16,1,0.1013,6,10.2,23.4,13.2,16.6,
Acanthodis curvidens,2,20110413,KatyCalls_2011-04-13 00_03_21 0001816_f,17,2,0.10352,5,9.7,23.4,13.7,17,
Acanthodis curvidens,2,20110413,KatyCalls_2011-04-13 00_04_31 0001817_f,18,3,0.101,6,10.2,22.9,12.7,17,
Acanthodis curvidens,2,20110413,KatyCalls_2011-04-13 00_07_48 0001818_f,19,1,0.0995,6,10.2,22.9,12.7,17,
Acanthodis curvidens,2,20110413,KatyCalls_2011-04-13 00_09_42 0001819_f,20,1,0.1027,6,10.2,22.9,12.7,17,
Aegimia elongata,1,20110307,T2011-03-08 03_44_19 0000328_f_BN,1,2,0.569,6,6.3,20,13.7,10.2,
Aegimia elongata,1,20110307,T2011-03-08 03_44_24 0000329_f_BN,2,3,0.2311,4,6.3,20,13.7,10.2,
Aegimia elongata,1,20110307,T2011-03-08 03_44_28 0000330_f_SAM.WAV,3,1,0.22683,4,5.8,20.5,14.7,10.2,
Aegimia elongata,1,20110307,T2011-03-08 03_44_34 0000331_f_SAM.WAV,4,2,0.229912,4,5.8,20.5,14.7,10.2,
Aegimia elongata,1,20110307,T2011-03-08 03_44_42 0000332_f_SAM.WAV,5,3,0.240144,4,7.3,20.5,13.2,10.2,
Aegimia elongata,2,20110407,KatyCalls_2011-04-07 04_08_22 0000606_f_BN,1,1,1.65251,23,10.2,22.4,12.2,19,
Aegimia elongata,2,20110407,KatyCalls_2011-04-07 04_08_22 0000606_f_BN,1,2,1.65251,23,10.2,22.4,12.2,19,
Aegimia elongata,2,20110407,KatyCalls_2011-04-07 04_08_32 0000607_f_SAM.WAV,2,1,1.46556,19,10.7,22.4,11.7,19,
Aegimia elongata,2,20110407,KatyCalls_2011-04-07 04_18_32 0000608_f_SAM.WAV,3,2,1.46127,18,10.7,21.9,11.2,18.5,
Aegimia elongata,2,20110407,KatyCalls_2011-04-07 04_18_41 0000609_f_SAM.WAV,4,1,0.63105,11,9.7,23.4,13.7,18,
Aegimia elongata,2,20110407,KatyCalls_2011-04-07 04_18_50 0000610_f_SAM.WAV,5,2,1.15812,15,10.2,23.4,13.2,18,
Aegimia elongata,2,20110407,KatyCalls_2011-04-07 04_26_50 0000611_f_SAM.WAV,6,1,1.14236,15,10.2,21.9,11.7,19,
Aegimia elongata,2,20110407,KatyCalls_2011-04-07 04_27_00 0000612_f_SAM.WAV,7,2,1.167936,15,9.7,22.9,13.2,17.5,
Aegimia elongata,2,20110407,KatyCalls_2011-04-07 04_29_00 0000613_f_SAM.WAV,8,1,1.152056,15,11.7,21.9,10.2,18.5,
Aegimia elongata,2,20110407,KatyCalls_2011-04-07 04_31_32 0000614_f_SAM.WAV,9,2,1.060288,15,10.2,22.4,12.2,18.5,
Aegimia elongata,2,20110407,KatyCalls_2011-04-07 04_31_42 0000615_f_SAM.WAV,10,1,1.145584,15,10.2,22.9,12.7,18.5,
Aegimia elongata,2,20110407,KatyCalls_2011-04-07 04_37_54 0000616_f_SAM.WAV,11,2,1.447048,18,10.2,22.9,12.7,19,
Aegimia elongata,2,20110407,KatyCalls_2011-04-07 04_38_06 0000617_f_SAM,12,1,1.183248,15,10.2,22.9,12.7,19,
Aegimia elongata,2,20110407,KatyCalls_2011-04-07 04_44_10 0000618_f_SAM.WAV,13,2,1.417396,17,10.2,22.4,12.2,18.5,
Aegimia elongata,2,20110407,KatyCalls_2011-04-07 04_44_20 0000619_f_SAM.WAV,14,1,1.191896,15,10.2,21.9,11.7,18.5,
Aegimia elongata,2,20110407,KatyCalls_2011-04-07 04_44_29 0000620_f_SAM.WAV,15,2,1.190976,15,10.2,22.9,12.7,18.5,
Aegimia elongata,2,20110407,KatyCalls_2011-04-07 04_44_43 0000621_f_SAM.WAV,16,1,1.43164,17,10.7,22.4,11.7,19,
Aegimia elongata,2,20110407,KatyCalls_2011-04-07 04_46_09 0000622_f_SAM.WAV,17,2,1.130832,16,9.7,21.9,12.2,13.6,
Aegimia elongata,2,20110407,KatyCalls_2011-04-07 04_46_20 0000623_f_SAM.WAV,18,1,1.405252,16,9.7,22.4,12.7,19,
Aegimia elongata,2,20110407,KatyCalls_2011-04-07 05_05_49 0000624_f_SAM.WAV,19,2,1.149948,15,9.2,22.9,13.7,18.5,
Aegimia elongata,2,20110407,KatyCalls_2011-04-07 05_06_00 0000625_f_SAM.WAV,20,1,1.170964,15,9.2,21.9,12.7,13.6,
Aegimia elongata,3,20110410,KatyCalls_2011-04-10 22_06_25 0001231_f_SAM.WAV,1,2,0.174064,3,6.3,21.4,15.1,10.2,
Aegimia elongata,3,20110410,KatyCalls_2011-04-10 22_06_31 0001232_f_SAM.WAV,2,1,0.174644,3,5.3,21.9,16.6,10.7,
Aegimia elongata,3,20110410,KatyCalls_2011-04-10 23_00_52 0001255_f_SAM.WAV,3,2,0.170048,3,5.3,19.5,14.2,11.2,
Aegimia elongata,3,20110410,KatyCalls_2011-04-10 23_01_02 0001256_f_SAM.WAV,4,1,0.226176,4,7.8,19.5,11.7,11.7,
Aegimia elongata,3,20110410,KatyCalls_2011-04-11 01_41_25 0001326_f_SAM.WAV,5,2,0.178316,4,6.8,20.9,14.1,10.2,
Aegimia elongata,3,20110410,KatyCalls_2011-04-11 01_41_31 0001327_f_SAM.WAV,6,1,0.17788,3,7.8,20.5,12.7,10.2,
Aegimia elongata,3,20110410,KatyCalls_2011-04-11 01_41_36 0001328_f_SAM.WAV,7,2,0.180788,3,7.8,20.9,13.1,11.7,
Aegimia elongata,3,20110410,KatyCalls_2011-04-11 01_59_58 0001348_f_SAM.WAV,8,1,0.173136,3,5.8,21.9,16.1,14.1,
Aegimia elongata,3,20110410,KatyCalls_2011-04-11 02_00_03 0001349_f_SAM.WAV,9,2,0.233392,4,5.8,20.9,15.1,12.2,
Aegimia elongata,3,20110410,KatyCalls_2011-04-11 02_00_08 0001350_f_SAM.WAV,10,3,0.17782,3,6.8,21.4,14.6,9.2,
Aegimia elongata,3,20110410,KatyCalls_2011-04-11 02_00_55 0001352_f_SAM.WAV,11,1,0.18056,3,6.8,21.4,14.6,14.6,
Aegimia elongata,3,20110410,KatyCalls_2011-04-11 02_01_01 0001353_f_SAM.WAV,12,2,0.220696,4,7.8,20.5,12.7,10.7,
Aegimia elongata,3,20110410,KatyCalls_2011-04-11 02_01_12 0001354_f_SAM.WAV,13,3,0.217516,5,7.8,19.5,11.7,10.7,
Aegimia elongata,3,20110410,KatyCalls_2011-04-11 02_10_45 0001358_f_SAM.WAV,14,1,0.214732,4,6.8,22.4,15.6,10.2,
Aegimia elongata,3,20110410,KatyCalls_2011-04-11 02_10_50 0001359_f_SAM.WAV,15,2,0.21672,4,6.8,21.9,15.1,10.2,
Aegimia elongata,3,20110410,KatyCalls_2011-04-11 02_10_56 0001360_f_SAM.WAV,16,3,0.222732,4,7.3,22.4,15.1,10.2,
Aegimia elongata,3,20110410,KatyCalls_2011-04-11 02_50_36 0001373_f_SAM.WAV,17,4,0.175412,3,6.8,20.5,13.7,9.7,
Aegimia elongata,3,20110410,KatyCalls_2011-04-11 02_50_41 0001374_f_SAM.WAV,18,1,0.176168,3,7.3,21.9,14.6,9.2,
Aegimia elongata,3,20110410,KatyCalls_2011-04-11 02_50_47 0001375_f_SAM.WAV,19,2,0.230892,4,7.3,21.9,14.6,9.2,
Aegimia elongata,3,20110410,KatyCalls_2011-04-11 03_33_06 0001385_f_SAM.WAV,20,3,0.179528,3,6.8,20.9,14.1,10.2,
Aegimia elongata,4,20110411,KatyCalls_2011-04-12 04_56_45 0001506_f_SAM.WAV,1,1,1.479224,18,10.7,22.9,12.2,17.5,
Aegimia elongata,4,20110411,KatyCalls_2011-04-12 04_56_55 0001507_f_SAM.WAV,2,2,1.22962,15,11.2,22.4,11.2,17.5,
Aegimia elongata,4,20110411,KatyCalls_2011-04-12 04_57_14 0001508_f_SAM.WAV,3,3,1.2185,14,11.7,22.9,11.2,17.5,
Aegimia elongata,4,20110411,KatyCalls_2011-04-12 04_57_28 0001509_f_SAM.WAV,4,1,1.213368,13,11.7,22.9,11.2,17.5,
Aegimia elongata,4,20110411,KatyCalls_2011-04-12 04_57_39 0001510_f_SAM.WAV,5,2,1.21724,14,11.7,22.9,11.2,17.5,
Aegimia elongata,4,20110411,KatyCalls_2011-04-12 04_57_53 0001511_f_SAM.WAV,6,1,1.23186,13,11.7,22.9,11.2,17.5,
Aegimia elongata,4,20110411,KatyCalls_2011-04-12 05_02_03 0001512_f_SAM.WAV,7,2,1.205132,15,9.7,22.4,12.7,17.5,
Aegimia elongata,4,20110411,KatyCalls_2011-04-12 05_02_16 0001513_f_SAM.WAV,8,1,1.220212,14,11.2,21.9,10.7,18,
Aegimia elongata,4,20110411,KatyCalls_2011-04-12 05_04_20 0001514_f_SAM.WAV,9,2,1.484036,17,11.2,21.4,10.2,18,
Aegimia elongata,4,20110411,KatyCalls_2011-04-12 05_04_34 0001515_f_SAM.WAV,10,3,1.210104,14,11.2,21.4,10.2,18,
Aegimia elongata,4,20110411,KatyCalls_2011-04-12 05_16_45 0001516_f_SAM.WAV,11,,1.22604,14,9.7,21.4,11.7,18.5,
Aegimia elongata,4,20110411,KatyCalls_2011-04-12 05_17_19 0001517_f_SAM.WAV,12,,1.215608,13,9.7,21.9,12.2,18.5,
Aegimia elongata,4,20110411,KatyCalls_2011-04-12 05_24_05 0001518_f_SAM.WAV,13,,0.957188,11,10.2,21.9,11.7,16.6,
Aegimia elongata,4,20110411,KatyCalls_2011-04-12 05_24_16 0001519_f_SAM.WAV,14,,1.20138,15,10.7,21.4,10.7,18,
Aegimia elongata,4,20110411,KatyCalls_2011-04-12 05_24_27 0001520_f_SAM.WAV,15,,1.24602,15,10.7,21.9,11.2,18,
Aegimia elongata,4,20110411,KatyCalls_2011-04-12 05_24_43 0001521_f_SAM.WAV,16,,1.21162,15,10.7,21.9,11.2,18,
Aegimia elongata,4,20110411,KatyCalls_2011-04-12 05_25_16 0001522_f_SAM.WAV,17,,0.963864,10,10.7,21.4,10.7,17.5,
Aegimia elongata,4,20110411,KatyCalls_2011-04-12 05_26_32 0001523_f_SAM.WAV,18,,1.1571,15,9.7,22.4,12.7,14.6,
Aegimia elongata,4,20110411,KatyCalls_2011-04-12 05_26_49 0001524_f_SAM.WAV,19,,1.48322,17,9.7,22.4,12.7,15.1,
Aegimia elongata,4,20110411,KatyCalls_2011-04-12 05_31_47 0001525_f_SAM.WAV,20,,1.239524,15,10.7,22.4,11.7,17.5,
Aegimia elongata,5,20110411,KatyCalls_2011-04-12 05_02_39 0000629_f_SAM.WAV,1,,1.242524,15,9.7,22.4,12.7,18.5,
Aegimia elongata,5,20110411,KatyCalls_2011-04-12 05_02_39 0000629_f_SAM.WAV,1,,1.242524,15,9.7,22.4,12.7,18.5,
Aegimia elongata,5,20110411,KatyCalls_2011-04-12 05_17_06 0000630_f_SAM.WAV,2,,1.238376,15,10.2,22.9,12.7,18.5,
Aegimia elongata,5,20110411,KatyCalls_2011-04-12 05_17_06 0000630_f_SAM.WAV,2,,1.238376,15,10.2,22.9,12.7,18.5,
Aegimia elongata,5,20110411,KatyCalls_2011-04-12 05_27_19 0000638_f_SAM.WAV,3,,1.500312,18,10.2,23.4,13.2,18,
Aegimia elongata,5,20110411,KatyCalls_2011-04-12 05_27_19 0000638_f_SAM.WAV,3,,1.500312,18,10.2,23.4,13.2,18,
Aegimia elongata,5,20110411,KatyCalls_2011-04-12 05_27_32 0000639_f_SAM.WAV,4,,1.245536,15,10.2,22.9,12.7,18,
Aegimia elongata,5,20110411,KatyCalls_2011-04-12 05_27_32 0000639_f_SAM.WAV,4,,1.245536,15,10.2,22.9,12.7,18,
Aegimia elongata,5,20110411,KatyCalls_2011-04-12 05_29_39 0000640_f_SAM.WAV,5,,1.51698,17,10.2,22.9,12.7,19,
Aegimia elongata,5,20110411,KatyCalls_2011-04-12 05_29_56 0000641_f_SAM.WAV,6,,1.53044,17,10.2,22.9,12.7,15.6,
Aegimia elongata,5,20110411,KatyCalls_2011-04-12 05_30_50 0000642_f_SAM.WAV,7,,1.523432,17,10.2,23.4,13.2,15.6,
Aegimia elongata,6,20110412,KatyCalls_2011-04-13 05_13_04 0000772_f_SAM.WAV,1,,1.326188,15,9.7,23.4,13.7,14.6,
Aegimia elongata,6,20110412,KatyCalls_2011-04-13 05_26_26 0000773_f_SAM.WAV,2,,1.356668,15,9.7,22.9,13.2,14.6,
Aegimia elongata,6,20110412,KatyCalls_2011-04-13 05_26_41 0000774_f_SAM.WAV,3,,1.368248,13,9.7,22.9,13.2,14.6,
Aegimia elongata,7,20110413,KatyCalls_2011-04-14 02_25_47 0236_f_SAM.WAV,1,,1.004248,9,7.3,20.5,13.2,9.7,
Aegimia elongata,7,20110413,KatyCalls_2011-04-14 02_27_14 0242_f_SAM.WAV,2,,0.794948,10,7.8,20.9,13.1,9.7,
Aegimia elongata,7,20110413,KatyCalls_2011-04-14 02_27_20 0243_f_SAM.WAV,3,,0.182872,3,7.3,21.4,14.1,9.7,
Aegimia elongata,7,20110413,KatyCalls_2011-04-14 03_00_18 0247_f_SAM.WAV,4,,0.922992,8,7.8,19.5,11.7,10.2,
Aegimia elongata,7,20110413,KatyCalls_2011-04-14 03_00_28 0249_f_SAM.WAV,5,,0.182904,3,7.8,20,12.2,10.2,
Aegimia elongata,7,20110413,KatyCalls_2011-04-14 03_00_33 0250_f_SAM.WAV,6,,0.187464,3,7.3,20,12.7,9.7,
Aegimia elongata,7,20110413,KatyCalls_2011-04-14 03_00_41 0251_f_SAM.WAV,7,,0.18386,3,7.8,19.5,11.7,9.7,
Aegimia elongata,7,20110413,KatyCalls_2011-04-14 03_05_41 0252_f_SAM,8,,0.899612,8,7.8,19,11.2,10.2,
Aegimia elongata,7,20110413,KatyCalls_2011-04-14 03_05_47 0253_f_SAM.WAV,9,,0.188932,3,7.8,20,12.2,10.2,
Aegimia elongata,7,20110413,KatyCalls_2011-04-14 03_05_52 0254_f_SAM.WAV,10,,0.189672,3,7.8,20,12.2,9.7,
Aegimia elongata,7,20110413,KatyCalls_2011-04-14 03_07_38 0255_f_SAM.WAV,11,,0.849328,8,7.8,19.5,11.7,10.2,
Aegimia elongata,7,20110413,KatyCalls_2011-04-14 03_07_44 0256_f_SAM.WAV,12,,0.180908,3,7.8,20,12.2,10.7,
Aegimia elongata,7,20110413,KatyCalls_2011-04-14 03_07_49 0257_f_SAM.WAV,13,,0.186316,3,7.8,19.5,11.7,10.7,
Aegimia elongata,7,20110413,KatyCalls_2011-04-14 03_08_01 0258_f_SAM.WAV,14,,0.185312,3,7.3,19,11.7,10.7,
Aegimia elongata,7,20110413,KatyCalls_2011-04-14 03_09_44 0259_f_SAM,15,,0.869412,8,7.8,19,11.2,10.7,
Aegimia elongata,7,20110413,KatyCalls_2011-04-14 03_09_51 0260_f_SAM.WAV,16,,0.193184,3,7.8,19.5,11.7,10.7,
Aegimia elongata,7,20110413,KatyCalls_2011-04-14 03_09_57 0261_f_SAM.WAV,17,,0.193368,3,7.8,19.5,11.7,9.7,
Aegimia elongata,7,20110413,KatyCalls_2011-04-14 03_10_04 0262_f_SAM.WAV,18,,0.185708,3,7.8,19,11.2,10.7,
