,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,1,2,3,4,5,6,7,8,9,10,11
,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,low,high,high,high,high,high,high,high,high,high,high,high
last pulse,34.91,68.65,102.41,136.17,169.78,203.53,237.29,271.04,304.8,338.54,372.28,406.02,439.81,473.57,507.33,538.07,574.81,608.56,642.34,676.1,709.95,743.71,777.47,36.11,69.89,103.68,137.69,171.48,205.22,239.01,272.75,306.46,340.41,374.17
first heard ,17.91,52.65,86.41,125.17,150.78,183.53,218.29,254.04,285.8,318.54,354.28,399.02,419.81,453.57,487.33,538.07,564.81,595.56,624.34,665.1,692.95,726.71,776.47,30.11,62.89,99.68,133.69,165.48,202.22,232.01,270.75,301.46,339.41,368.17
bugabae_f_y52,46,48,48,58,42,40,42,46,42,40,44,66,40,40,40,80,60,54,44,58,46,46,78,68,66,72,72,68,74,66,76,70,78,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
last pulse,35.4,69.14,102.88,136.63,170.41,204.16,237.91,271.53,305.27,339.03,372.79,406.54,440.29,474.03,507.77,541.56,0,609.07,642.81,676.56,710.3,744.06,777.93,37.58,71.59,105.33,139.12,172.88,206.63,240.42,274.21,308.16,314.95,375.74
first heard,35.4,51.14,82.88,133.63,156.41,186.16,230.91,252.53,286.27,324.03,355.79,403.54,428.29,459.03,507.77,528.56,0,593.07,628.81,659.56,694.3,739.06,761.93,27.58,59.59,95.33,128.12,164.88,202.63,235.42,268.21,301.16,312.95,370.74
chloriscertus_m_g22,80,44,40,74,52,44,66,42,42,50,46,74,56,50,80,54,80,48,52,46,48,70,48,60,56,60,58,64,72,70,68,66,76,70
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
last pulse,35.61,69.37,103.12,136.88,170.64,204.49,238.25,272.01,305.77,339.52,373.31,407.05,440.8,474.55,508.31,542.05,575.84,609.6,643.34,677.1,710.86,744.61,778.25,35.43,69.37,103.11,136.9,170.91,204.67,238.38,272.17,305.96,339.75,373.53
first heard,17.61,69.37,88.12,121.88,161.64,187.49,227.25,256.01,295.77,337.52,355.31,388.05,421.8,457.55,490.31,538.05,556.84,592.6,641.34,674.1,698.86,738.61,764.25,32.43,61.37,93.11,135.9,163.91,193.67,236.38,268.17,300.96,334.75,362.53
dimidiata_m_g75,44,80,50,50,62,46,58,48,60,76,44,42,42,46,44,72,42,46,76,74,56,68,52,74,64,60,78,66,58,76,72,70,70,58
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
last pulse,38.81,72.57,106.32,140.11,173.85,207.47,241.23,274.98,308.73,342.47,376.21,409.95,443.7,477.45,511.31,545.05,578.84,612.6,646.35,680.11,713.87,747.61,781.37,34.23,67.97,101.91,135.7,169.49,203.28,237.29,271,304.76,338.55,372.3
first heard ,22.81,53.57,100.32,125.11,168.85,189.47,221.23,272.98,288.73,323.47,356.21,392.95,437.7,471.45,511.31,544.05,563.84,600.6,626.35,661.11,701.87,731.61,772.37,30.23,64.97,96.91,131.7,162.49,199.28,226.29,257,301.76,335.55,368.3
micans_m_r88,48,42,68,50,70,44,40,76,40,42,40,46,68,68,80,78,50,56,40,42,56,48,62,72,74,70,72,66,72,58,52,74,74,72
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
last pulse,34.54,68.16,101.92,135.79,169.56,203.3,237.06,270.82,304.56,338.33,372.09,405.83,439.57,473.36,507.1,540.86,574.62,608.36,642.1,675.85,709.6,743.39,777.16,34.04,68.04,101.83,135.57,169.32,203.11,236.85,270.63,304.35,338.14,371.94
first heard ,26.54,59.16,88.92,121.79,152.56,184.3,237.06,252.82,289.56,321.33,357.09,389.83,432.57,454.36,507.1,536.86,557.62,591.36,627.1,658.85,706.6,725.39,766.16,32.04,62.04,93.83,131.57,165.32,195.11,233.85,262.63,299.35,333.14,368.94
polka_f_r89,64,62,54,52,46,42,80,44,50,46,50,48,66,42,80,72,46,46,50,46,74,44,58,76,68,64,72,72,64,74,64,70,70,74
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
last pulse,36.04,69.79,103.53,137.28,171.04,204.78,238.54,272.29,306.08,339.84,373.6,407.45,441.24,474.98,508.72,542.48,576.22,609.98,643.74,677.49,711.24,744.85,778.62,36.75,70.69,104.48,138.24,172.03,205.81,239.53,273.28,307.07,340.86,374.6
first heard ,26.04,59.79,101.53,133.28,156.04,193.78,230.54,271.29,291.08,329.84,370.6,403.45,432.24,466.98,503.72,532.48,567.22,609.98,639.74,671.49,709.24,732.85,778.62,29.75,62.69,96.48,129.24,167.03,199.81,227.53,266.28,304.07,331.86,368.6
viadana_m_r18,60,60,76,72,50,58,64,78,50,60,74,72,62,64,70,60,62,80,72,68,76,56,80,66,64,64,62,70,68,56,66,74,62,68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
last pulse,34.88,33.9,34.18,34.18,33.7,33.9,34.3,34.53,33.9,37.3,34.1,36.05,34.37,34.07,34.4,34.08,36.42,33.71,34.47,34.46,33.76,34.16,34.52,33.5,34.88,33.83,33.62,33.62,34.04,33.77,33.53,34.19,33.68,33.54
first heard,34.88,33.9,28.18,19.18,19.7,18.9,17.3,13.53,13.9,17.3,13.1,14.05,15.37,16.07,16.4,15.08,16.42,15.71,18.47,18.46,16.76,16.16,16.52,17.5,20.88,17.83,17.62,19.62,18.04,15.77,19.53,20.19,26.68,25.54
